Zähler;Haushaltsjahr;Bkz;Kapitel;Titel;Unterkonto;Kennbuchstabe;Funktion;Ansatz;ResteVorjahre;Zugang/Abgang;Fortgeschriebenes Soll;Verfügungsbeschränkung;Verfügbares Soll;Anordnungssoll;Festlegung;Gebildete Reste;Verfügbare Mittel;Ist
1;0000;00;0000;00000;;;;30112015;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00
2;2015;40;3100;11934;###;E03;012;1700;0,00;0,00;1.700,00;0,00;0,00;4.160,72;0,00;0;0,00;4.160,72
3;2015;40;3100;11934;000;E03;012;1700;0,00;0,00;1.700,00;0,00;0,00;4.160,72;0,00;0;0,00;4.160,72
4;2015;40;3100;28290;###;E01;012;0;0,00;0,00;0,00;0,00;0,00;1.500,00;0,00;0;0,00;1.500,00
5;2015;40;3100;28290;101;E01;012;0;0,00;0,00;0,00;0,00;0,00;500,00;0,00;0;0,00;500,00
6;2015;40;3100;28290;102;E01;012;0;0,00;0,00;0,00;0,00;0,00;1.000,00;0,00;0;0,00;1.000,00
7;2015;40;3100;41201;###;;012;6800;0,00;0,00;6.800,00;0,00;6.800,00;6.000,00;6.000,00;0;800,00;6.000,00
8;2015;40;3100;41201;000;;012;6800;0,00;0,00;6.800,00;0,00;6.800,00;6.000,00;6.000,00;0;800,00;6.000,00
9;2015;40;3100;41202;###;;012;354000;0,00;127.296,50;481.296,50;0,00;481.296,50;435.396,00;435.416,00;0;45.880,50;435.396,00
10;2015;40;3100;41202;000;;012;354000;0,00;127.296,50;481.296,50;0,00;481.296,50;435.396,00;435.416,00;0;45.880,50;435.396,00
11;2015;40;3100;42801;###;;012;155000;0,00;0,00;155.000,00;0,00;155.000,00;155.297,79;155.297,79;0;-297,79;155.297,79
12;2015;40;3100;42801;000;;012;155000;0,00;0,00;155.000,00;0,00;155.000,00;155.297,79;155.297,79;0;-297,79;155.297,79
13;2015;40;3100;51801;###;A08;012;5000;0,00;0,00;5.000,00;0,00;5.000,00;0,00;0,00;0;5.000,00;0,00
