Zähler;Haushaltsjahr;Bkz;Kapitel;Titel;Unterkonto;Kennbuchstabe;Funktion;Ansatz;ResteVorjahre;Zugang/Abgang;Fortgeschriebenes Soll;Verfügungsbeschränkung;Verfügbares Soll;Anordnungssoll;Festlegung;Gebildete Reste;Verfügbare Mittel;Ist
1;0000;00;0000;00000;;;;31102015;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00
2;2015;40;3100;11934;###;E03;012;1700;0,00;0,00;1.700,00;0,00;0,00;4.160,72;0,00;0;0,00;4.160,72
3;2015;40;3100;11934;000;E03;012;1700;0,00;0,00;1.700,00;0,00;0,00;4.160,72;0,00;0;0,00;4.160,72
4;2015;40;3100;28290;###;E01;012;0;0,00;0,00;0,00;0,00;0,00;500,00;0,00;0;0,00;500,00
5;2015;40;3100;28290;101;E01;012;0;0,00;0,00;0,00;0,00;0,00;500,00;0,00;0;0,00;500,00
6;2015;40;3100;41201;###;;012;6800;0,00;0,00;6.800,00;0,00;6.800,00;5.340,00;5.340,00;0;1.460,00;5.340,00
7;2015;40;3100;41201;000;;012;6800;0,00;0,00;6.800,00;0,00;6.800,00;5.340,00;5.340,00;0;1.460,00;5.340,00
8;2015;40;3100;41202;###;;012;354000;0,00;127.296,50;481.296,50;0,00;481.296,50;396.564,50;396.584,50;0;84.712,00;396.564,50
9;2015;40;3100;41202;000;;012;354000;0,00;127.296,50;481.296,50;0,00;481.296,50;396.564,50;396.584,50;0;84.712,00;396.564,50
10;2015;40;3100;42801;###;;012;155000;0,00;0,00;155.000,00;0,00;155.000,00;130.031,37;130.031,37;0;24.968,63;130.031,37
11;2015;40;3100;42801;000;;012;155000;0,00;0,00;155.000,00;0,00;155.000,00;130.031,37;130.031,37;0;24.968,63;130.031,37
12;2015;40;3100;51801;###;A08;012;5000;0,00;0,00;5.000,00;0,00;5.000,00;0,00;0,00;0;5.000,00;0,00
13;2015;40;3100;51801;000;A08;012;5000;0,00;0,00;5.000,00;0,00;5.000,00;0,00;0,00;0;5.000,00;0,00
14;2015;40;3100;52906;###;A09;012;3000;0,00;0,00;3.000,00;0,00;3.000,00;2.010,13;2.010,13;0;989,87;2.010,13
15;2015;40;3100;52906;000;A09;012;3000;0,00;0,00;3.000,00;0,00;3.000,00;2.010,13;2.010,13;0;989,87;2.010,13
16;2015;40;3100;54010;###;A09;012;0;0,00;14.000,00;14.000,00;0,00;14.000,00;10.319,52;10.319,52;0;3.680,48;10.319,52
17;2015;40;3100;54010;000;A09;012;0;0,00;14.000,00;14.000,00;0,00;14.000,00;10.319,52;10.319,52;0;3.680,48;10.319,52
18;2015;40;3100;54079;###;A09;012;2000;0,00;0,00;2.000,00;0,00;2.000,00;1.428,06;1.428,06;0;571,94;1.428,06
19;2015;40;3100;54079;000;A09;012;2000;0,00;0,00;2.000,00;0,00;2.000,00;1.428,06;1.428,06;0;571,94;1.428,06
20;2015;40;3100;54690;###;A10;012;0;0,00;500,00;500,00;0,00;500,00;0,00;0,00;0;500,00;0,00
21;2015;40;3100;54690;000;A10;012;0;0,00;500,00;500,00;0,00;500,00;0,00;0,00;0;500,00;0,00
22;2015;40;3100;68123;###;T;012;2500;0,00;0,00;2.500,00;0,00;2.500,00;7,68;7,68;0;2.492,32;7,68
23;2015;40;3100;68123;000;T;012;2500;0,00;0,00;2.500,00;0,00;2.500,00;7,68;7,68;0;2.492,32;7,68
24;2015;40;3100;68401;###;Z;012;147000;0,00;72.408,43;219.408,43;0,00;219.408,43;200.175,09;200.175,09;0;19.233,34;200.175,09
25;2015;40;3100;68401;000;Z;012;147000;0,00;72.408,43;219.408,43;0,00;219.408,43;-125,44;-125,44;0;219.533,87;-125,44
26;2015;40;3100;68401;100;Z;012;0;0,00;0,00;0,00;0,00;0,00;96.300,53;96.300,53;0;-96.300,53;96.300,53
27;2015;40;3100;68401;101;Z;012;0;0,00;0,00;0,00;0,00;0,00;104.000,00;104.000,00;0;-104.000,00;104.000,00
28;2015;40;3300;11109;###;E03;012;1100;0,00;1.000,00;2.100,00;0,00;0,00;998,41;0,00;0;0,00;998,41
29;2015;40;3300;11109;000;E03;012;1100;0,00;1.000,00;2.100,00;0,00;0,00;998,41;0,00;0;0,00;998,41
30;2015;40;3300;11153;###;E03;012;3300;0,00;2.500,00;5.800,00;0,00;0,00;5.666,13;0,00;0;0,00;5.253,36
31;2015;40;3300;11153;000;E03;012;3300;0,00;2.500,00;5.800,00;0,00;0,00;5.666,13;0,00;0;0,00;5.253,36
