Z?hler;Haushaltsjahr;Bkz;Kapitel;Titel;Unterkonto;Kennbuchstabe;Funktion;Ansatz;ResteVorjahre;Zugang/Abgang;Fortgeschriebenes Soll;VerfÅgungsbeschr?nkung;VerfÅgbares Soll;Anordnungssoll;Festlegung;Gebildete Reste;VerfÅgbare Mittel;Ist
1;0;0;0;0;;;;31012016;0;0;0;0;0;0;0;0;0;0
2;2016;40;3100;11934;###;E03;12;6300;0;0;6.300,00;0;0;0;0;0;0;0
3;2016;40;3100;11934;0;E03;12;6300;0;0;6.300,00;0;0;0;0;0;0;0
4;2016;40;3100;41201;###;;12;6900;0;0;6.900,00;0;6.900,00;640;640;0;6.260,00;640
5;2016;40;3100;41201;0;;12;6900;0;0;6.900,00;0;6.900,00;640;640;0;6.260,00;640
6;2016;40;3100;41202;###;;12;481000;0;0;481.000,00;0;481.000,00;77.089,50;77.109,50;0;403.890,50;41.665,50
7;2016;40;3100;41202;0;;12;481000;0;0;481.000,00;0;481.000,00;77.089,50;77.109,50;0;403.890,50;41.665,50
8;2016;40;3100;42801;###;;12;200000;0;0;200.000,00;0;200.000,00;14.324,52;14.324,52;0;185.675,48;14.324,52
9;2016;40;3100;42801;0;;12;200000;0;0;200.000,00;0;200.000,00;14.324,52;14.324,52;0;185.675,48;14.324,52
10;2016;40;3100;51140;###;A05;12;5000;0;0;5.000,00;0;5.000,00;0;0;0;5.000,00;0
11;2016;40;3100;51140;0;A05;12;5000;0;0;5.000,00;0;5.000,00;0;0;0;5.000,00;0
12;2016;40;3100;51801;###;A08;12;5000;0;0;5.000,00;0;5.000,00;0;0;0;5.000,00;0
13;2016;40;3100;51801;0;A08;12;5000;0;0;5.000,00;0;5.000,00;0;0;0;5.000,00;0
14;2016;40;3100;52906;###;A09;12;3000;0;0;3.000,00;0;3.000,00;50;50;0;2.950,00;50
15;2016;40;3100;52906;0;A09;12;3000;0;0;3.000,00;0;3.000,00;50;50;0;2.950,00;50
16;2016;40;3100;54010;###;A09;12;17000;0;0;17.000,00;0;17.000,00;1.035,50;1.035,50;0;15.964,50;1.035,50
